ID,Name,Synonyms,SalesPrice,OriginalPrice,Rating,ProductLink,ImageLink,Availibility
Snapdeal_1,"Redmi 9 ( 64GB , 4 GB ) Black","Redmi 9 | Redmi 9 ( 64GB , 4 GB) | Redmi 9 Black",9499,10999.0,3.6,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/646372370923#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/r/t/Redmi-9-64GB-4-GB-SDL649851775-1-1537a.jpg,Available
Snapdeal_2,"Xolo Era 2 ( 8GB , 1 GB ) Black","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Black",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5188147410095998352#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/h/h/d/1-31100.jpg,Sold out
Snapdeal_3,"Gionee s11 ( 32GB , 4 GB ) Black","Gionee s11 | Gionee s11 ( 32GB , 4 GB) | Gionee s11 Black",7000,15399.0,0.0,https://www.snapdeal.com/product/gionee-s11-32gb-4-gb/636807898611#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/s/0/Gionee-s11-32GB-4-GB-SDL288728047-1-84064.png,Available
Snapdeal_4,"Realme Narzo 20 ( 64GB , 4 GB ) Victory Blue","Realme Narzo 20 | Realme Narzo 20 ( 64GB , 4 GB) | Realme Narzo 20 Blue",11999,12999.0,4.0,https://www.snapdeal.com/product/realme-narzo-20-64gb-4/665892836468#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/r/o/Realme-Narzo-20-64GB-4-SDL337945507-1-f5568.jpeg,Available
Snapdeal_5,"Gionee s11 lite ( 32 GB , 4 GB ) Blue","Gionee s11 lite | Gionee s11 lite ( 32 GB , 4 GB) | Gionee s11 lite Blue",7004,8999.0,3.4,https://www.snapdeal.com/product/gionee-blue-s11-lite-32/5764608157785105335#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/i/f/r/Gionee-Blue-s11-lite-32-SDL695597010-1-47f88.jpeg,Available
Snapdeal_6,"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg,Sold out
Snapdeal_7,"Realme C11 ( 32GB , 2 GB ) Grey","Realme C11 | Realme C11 ( 32GB , 2 GB) | Realme C11 Grey",8999,9999.0,4.6,https://www.snapdeal.com/product/realme-c11-32gb-2-gb/640079839402#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/f/p/Realme-C11-32GB-2-GB-SDL880168590-1-9d3a9.jpeg,Available
Snapdeal_8,"Redmi Note 10 ( 64GB , 4 GB ) Aqua Green","Redmi Note 10 | Redmi Note 10 ( 64GB , 4 GB) | Redmi Note 10 Green",13999,15999.0,0.0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/8070451150792751601#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/m/Redmi-Note-10-64GB-4-SDL009655497-1-0d0cc.jpg,Available
Snapdeal_9,"Realme Narzo 10A ( 32GB , 3 GB ) Blue","Realme Narzo 10A | Realme Narzo 10A ( 32GB , 3 GB) | Realme Narzo 10A Blue",9803,10999.0,0.0,https://www.snapdeal.com/product/realme-narzo-10a-32gb-3/682371075796#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/f/c/Realme-Narzo-10A-32GB-3-SDL217157000-1-5eba1.jpeg,Available
Snapdeal_10,"Blackberry KEYONE ( 32 MB , 4 GB ) Black & Grey","Blackberry KEYONE | Blackberry KEYONE ( 32 MB , 4 GB) | Blackberry KEYONE Grey",23999,31999.0,3.0,https://www.snapdeal.com/product/blackberry-black-keyone-32-mb/6917529649199044221#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/g/t/d/Blackberry-Black-Grey-KEYONE-32-SDL364907883-1-f19ae.jpeg,Available
Snapdeal_11,"Samsung M02s ( 32GB , 3 GB ) Blue","Samsung M02s | Samsung M02s ( 32GB , 3 GB) | Samsung M02s Blue",9999,10499.0,0.0,https://www.snapdeal.com/product/samsung-m02s-32gb-3-gb/6917529706520383582#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/s/m/Samsung-M02s-32GB-3-GB-SDL291597116-1-d08b2.jpg,Available
Snapdeal_12,"Oppo A15s ( 64GB , 4 GB ) Silver","Oppo A15s | Oppo A15s ( 64GB , 4 GB) | Oppo A15s Silver",12990,13990.0,0.0,https://www.snapdeal.com/product/oppo-a15s-64gb-4-gb/5764608177391873536#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/s/t/Oppo-A15s-64GB-4-GB-SDL807548403-1-58e0e.jpg,Available
Snapdeal_13,"Realme XT ( 64GB , 6 GB ) White","Realme XT | Realme XT ( 64GB , 6 GB) | Realme XT White",17999,18999.0,0.0,https://www.snapdeal.com/product/realme-xt-64gb-6-gb/661600837444#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/i/t/2/Realme-XT-64GB-6-GB-SDL850761714-1-1a9fb.jpeg,Available
