Amazon_Name,Amazon_Synonyms,Amazon_SalesPrice,Amazon_OriginalPrice,Amazon_Availability,Amazon_Rating,Amazon_ProductLink,Amazon_ImageLink,Flipkart_Name,Flipkart_Synonyms,Flipkart_SalesPrice,Flipkart_OriginalPrice,Flipkart_Rating,Flipkart_ProductLink,Flipkart_ImageLink,Snapdeal_Name,Snapdeal_Synonyms,Snapdeal_SalesPrice,Snapdeal_OriginalPrice,Snapdeal_Rating,Snapdeal_ProductLink,Snapdeal_ImageLink,Snapdeal_Availability
"Tecno Spark 7 (Magnet Black, 3GB RAM, 64 GB Storage) - 6000mAh Battery|16 MP Dual Camera| 6.52” Dot Notch Display","['Tecno Spark 7 ', 'Tecno Spark 7 Magnet Black', 'Tecno Spark 7  3GB RAM']",8499,9999,Available,3.9,https://www.amazon.co.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A00169231TIL08220DP2&url=%2FTecno-Spark-Magnet-Black-Storage%2Fdp%2FB091FHC2WT%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmobile%26qid%3D1624268743%26refinements%3Dp_89%253AASUS%257CAlcatel%257CApple%257CBlackBerry%257CGionee%257CGoogle%257CHTC%257CHonor%257CHuawei%257CIKALL%257CIntex%257CLG%257CLava%257CLenovo%257CMI%257CMicromax%257CMicrosoft%257CMoto%257CMotorola%257CNokia%257COnePlus%257COppo%257CPanasonic%257CRedmi%257CSHIVANSH%257CSamsung%257CSnexian%257CTecno%257CVivo%257CXiaomi%257CXifo%257Citel%257Crealme%26rnid%3D3837712031%26s%3Delectronics%26sr%3D1-1-spons%26psc%3D1&qualifier=1624268743&id=1125483254291603&widgetName=sp_atf,https://m.media-amazon.com/images/I/712hJ5hz7NS._AC_UY218_.jpg,,,,,,,,,,,,,,,
"Lava Z2 (2GB RAM, 32GB Storage)- Aqua Blue, Regular","['Lava Z2 ', 'Lava Z2 2GB RAM', 'Lava Z2  32GB Storage']",7399,7999,Available,4.1,https://www.amazon.co.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A08135921A9566BBPIPK7&url=%2FLava-Z2-32GB-Storage-Regular%2Fdp%2FB08S3ND3CV%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmobile%26qid%3D1624268743%26refinements%3Dp_89%253AASUS%257CAlcatel%257CApple%257CBlackBerry%257CGionee%257CGoogle%257CHTC%257CHonor%257CHuawei%257CIKALL%257CIntex%257CLG%257CLava%257CLenovo%257CMI%257CMicromax%257CMicrosoft%257CMoto%257CMotorola%257CNokia%257COnePlus%257COppo%257CPanasonic%257CRedmi%257CSHIVANSH%257CSamsung%257CSnexian%257CTecno%257CVivo%257CXiaomi%257CXifo%257Citel%257Crealme%26rnid%3D3837712031%26s%3Delectronics%26sr%3D1-2-spons%26psc%3D1&qualifier=1624268743&id=1125483254291603&widgetName=sp_atf,https://m.media-amazon.com/images/I/71y28elHfBL._AC_UY218_.jpg,,,,,,,,,,,,,,,
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","['Redmi 9A ', 'Redmi 9A Nature Green', 'Redmi 9A  2GB RAM']",6799,8499,Available,4.2,https://www.amazon.co.in/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_3?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-3,https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,"Redmi 9A (Nature Green, 32 GB)",Redmi 9A | Redmi 9A Nature Green | Redmi 9A  32 GB,7917.0,9499,4.3,https://www.flipkart.com/redmi-9a-nature-green-32-gb/p/itmeabd39a0cd669?pid=MOBFVDAFCKBNXQ7E&lid=LSTMOBFVDAFCKBNXQ7EZMZXCD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_24_569&otracker=browse&fm=organic&iid=818439b7-dc4f-418b-ae7a-4e956232a023.MOBFVDAFCKBNXQ7E.SEARCH&ppt=None&ppn=None&ssid=fh70s5ufm80000001624017850991,https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/k/h/9/mi-redmi-9a-b08696xb4b-original-imafve7pte7e4zmp.jpeg?q=70,,,,,,,,
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","['Redmi 9 ', 'Redmi 9 Sky Blue', 'Redmi 9  4GB RAM']",8799,10999,Available,4.2,https://www.amazon.co.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_4?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-4,https://m.media-amazon.com/images/I/71A9Vo1BatL._AC_UY218_.jpg,,,,,,,,,,,,,,,
"Samsung Galaxy M11 (Metallic Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","['Samsung Galaxy M11 ', 'Samsung Galaxy M11 Metallic Blue', 'Samsung Galaxy M11  4GB RAM']",8999,14999,Available,4.2,https://www.amazon.co.in/Samsung-Metallic-Storage-Additional-Exchange/dp/B086KCCSDD/ref=sr_1_5?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-5,https://m.media-amazon.com/images/I/71GQUxuSpnS._AC_UY218_.jpg,"SAMSUNG Galaxy M11 (Metallic Blue, 32 GB)",SAMSUNG Galaxy M11 | SAMSUNG Galaxy M11 Metallic Blue | SAMSUNG Galaxy M11  32 GB,10085.0,10305,4.2,https://www.flipkart.com/samsung-galaxy-m11-metallic-blue-32-gb/p/itme875f568bb05b?pid=MOBFRZZHHUZTTYCZ&lid=LSTMOBFRZZHHUZTTYCZPPT2BT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_35_821&otracker=browse&fm=organic&iid=52fb4ab8-f5c0-45a5-964c-654280f1019f.MOBFRZZHHUZTTYCZ.SEARCH&ppt=None&ppn=None&ssid=tpl9zx38mo0000001624018151717,https://rukminim1.flixcart.com/image/312/312/kavefm80/mobile/w/u/z/samsung-galaxy-m11-sm-m115fmbeins-original-imafscgycugcewty.jpeg?q=70,,,,,,,,
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","['Samsung Galaxy M12 ', 'Samsung Galaxy M12 Blue', 'Samsung Galaxy M12 4GB RAM']",10999,12999,Available,4.1,https://www.amazon.co.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_6?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-6,https://m.media-amazon.com/images/I/71yYaNztZ0L._AC_UY218_.jpg,"SAMSUNG Galaxy M12 (Blue, 64 GB)",SAMSUNG Galaxy M12 | SAMSUNG Galaxy M12 Blue | SAMSUNG Galaxy M12  64 GB,10999.0,NAN,4.2,https://www.flipkart.com/samsung-galaxy-m12-blue-64-gb/p/itm062b6548d8904?pid=MOBGFG8GCPEGKGF4&lid=LSTMOBGFG8GCPEGKGF4ZDZC3B&marketplace=FLIPKART&store=tyy%2F4io&srno=b_13_310&otracker=browse&fm=organic&iid=05d83aa1-e8ea-4e9a-9073-b220490edac9.MOBGFG8GCPEGKGF4.SEARCH&ppt=None&ppn=None&ssid=h5rz5p7xps0000001624017547820,https://rukminim1.flixcart.com/image/312/312/kmjhw280/mobile/h/k/v/galaxy-m12-galaxy-m12-samsung-original-imagffy3wzrmy7ep.jpeg?q=70,,,,,,,,
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","['Redmi Note 9 ', 'Redmi Note 9 Pebble Grey', 'Redmi Note 9  4GB RAM 64GB Storage']",10999,14999,Available,4.3,https://www.amazon.co.in/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_7?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-7,https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UY218_.jpg,"REDMI Note 9 (Pebble Grey, 64 GB)",REDMI Note 9 | REDMI Note 9 Pebble Grey | REDMI Note 9  64 GB,10999.0,14999,4.4,https://www.flipkart.com/redmi-note-9-pebble-grey-64-gb/p/itmb9c65ffe0ee74?pid=MOBFU3ZFQ3GAGANG&lid=LSTMOBFU3ZFQ3GAGANG1QDSWB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_47&otracker=browse&fm=organic&iid=383e0e7e-8ea1-466a-9948-13fe2fca0649.MOBFU3ZFQ3GAGANG.SEARCH&ppt=None&ppn=None&ssid=nii4bc2pkw0000001624017242337,https://rukminim1.flixcart.com/image/312/312/kd69z0w0/mobile/a/n/g/mi-redmi-note-9-b086982zkf-original-imafu4qf8gfcutde.jpeg?q=70,,,,,,,,
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","['Samsung Galaxy M01 Core ', 'Samsung Galaxy M01 Core Black', 'Samsung Galaxy M01 Core  2GB RAM']",6199,8499,Available,3.7,https://www.amazon.co.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_8?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-8,https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,,,,,,,,,,,,,,,
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","['Oppo A31 ', 'Oppo A31 Fantasy White', 'Oppo A31  6GB RAM']",11490,15990,Available,4.2,https://www.amazon.co.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_9?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-9,https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg,"OPPO A31 (Fantasy White, 64 GB)",OPPO A31 | OPPO A31 Fantasy White | OPPO A31  64 GB,11990.0,NAN,4.3,https://www.flipkart.com/oppo-a31-fantasy-white-64-gb/p/itm82e19f459118a?pid=MOBFPBD67MFNGTHM&lid=LSTMOBFPBD67MFNGTHMXV68QC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_13_291&otracker=browse&fm=organic&iid=05d83aa1-e8ea-4e9a-9073-b220490edac9.MOBFPBD67MFNGTHM.SEARCH&ppt=None&ppn=None&ssid=h5rz5p7xps0000001624017547820,https://rukminim1.flixcart.com/image/312/312/k7531jk0/mobile/t/h/m/oppo-a31-cph2015-original-imafpg3hg9v6rd6w.jpeg?q=70,,,,,,,,
"OnePlus Nord CE 5G (Charcoal Ink, 6GB RAM, 128GB Storage)","['OnePlus Nord CE 5G ', 'OnePlus Nord CE 5G Charcoal Ink', 'OnePlus Nord CE 5G  6GB RAM']",22999,22999,Available,2.9,https://www.amazon.co.in/OnePlus-Nord-Charcoal-128GB-Storage/dp/B095735P11/ref=sr_1_10?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-10,https://m.media-amazon.com/images/I/71LRBr1aLNS._AC_UY218_.jpg,,,,,,,,,,,,,,,
"OnePlus Nord CE 5G (Charcoal Ink, 8GB RAM, 128GB Storage)","['OnePlus Nord CE 5G ', 'OnePlus Nord CE 5G Charcoal Ink', 'OnePlus Nord CE 5G  8GB RAM']",24999,24999,Available,2.9,https://www.amazon.co.in/OnePlus-Nord-Charcoal-128GB-Storage/dp/B09576CYNP/ref=sr_1_11?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-11,https://m.media-amazon.com/images/I/71LRBr1aLNS._AC_UY218_.jpg,,,,,,,,,,,,,,,
