Snapdeal_Name,Snapdeal_Synonyms,Snapdeal_SalesPrice,Snapdeal_OriginalPrice,Snapdeal_Rating,Snapdeal_ProductLink,Snapdeal_ImageLink,Snapdeal_Availability,Amazon_Name,Amazon_Synonyms,Amazon_SalesPrice,Amazon_OriginalPrice,Amazon_Availability,Amazon_Rating,Amazon_ProductLink,Amazon_ImageLink,Flipkart_Name,Flipkart_Synonyms,Flipkart_SalesPrice,Flipkart_OriginalPrice,Flipkart_Rating,Flipkart_ProductLink,Flipkart_ImageLink
"Redmi 9 ( 64GB , 4 GB ) Black","Redmi 9 | Redmi 9 ( 64GB , 4 GB) | Redmi 9 Black",9499,10999.0,3.6,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/646372370923#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/r/t/Redmi-9-64GB-4-GB-SDL649851775-1-1537a.jpg,Available,"Redmi 4 (Black, 16 GB)","['Redmi 4 ', 'Redmi 4 Black', 'Redmi 4  16 GB']",6999,7499,Available,4.1,https://www.amazon.co.in/Redmi-4-Black-16-GB/dp/B01MT0QKAG/ref=sr_1_1350?dchild=1&keywords=mobile&qid=1624268983&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-1350,https://m.media-amazon.com/images/I/61nzk9MGSlL._AC_UY218_.jpg,,,,,,,
"Xolo Era 2 ( 8GB , 1 GB ) Black","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Black",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5188147410095998352#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/h/h/d/1-31100.jpg,Sold out,,,,,,,,,,,,,,,
"Gionee s11 ( 32GB , 4 GB ) Black","Gionee s11 | Gionee s11 ( 32GB , 4 GB) | Gionee s11 Black",7000,15399.0,0.0,https://www.snapdeal.com/product/gionee-s11-32gb-4-gb/636807898611#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/s/0/Gionee-s11-32GB-4-GB-SDL288728047-1-84064.png,Available,Gionee P5W (Black),"['Gionee P5W ', 'Gionee P5W  Black']",Unavailable,Unavailable,Unavailable,3.3,https://www.amazon.co.in/Gionee-P5W-Black/dp/B01B4VFH6U/ref=sr_1_950?dchild=1&keywords=mobile&qid=1624268911&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-950,https://m.media-amazon.com/images/I/61W+8zzfCML._AC_UY218_.jpg,,,,,,,
"Realme Narzo 20 ( 64GB , 4 GB ) Victory Blue","Realme Narzo 20 | Realme Narzo 20 ( 64GB , 4 GB) | Realme Narzo 20 Blue",11999,12999.0,4.0,https://www.snapdeal.com/product/realme-narzo-20-64gb-4/665892836468#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/r/o/Realme-Narzo-20-64GB-4-SDL337945507-1-f5568.jpeg,Available,"realme narzo 20 (Victory Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","['realme narzo 20 ', 'realme narzo 20 Victory Blue', 'realme narzo 20  4GB RAM']",10499,12999,Available,4.2,https://www.amazon.co.in/realme-Victory-Storage-Additional-Exchange/dp/B092QJJ8C4/ref=sr_1_48?dchild=1&keywords=mobile&qid=1624268749&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-48,https://m.media-amazon.com/images/I/81ptizlt+QS._AC_UY218_.jpg,"realme Narzo 20A (Victory Blue, 32 GB)",realme Narzo 20A | realme Narzo 20A Victory Blue | realme Narzo 20A  32 GB,8499.0,10999,4.3,https://www.flipkart.com/realme-narzo-20a-victory-blue-32-gb/p/itmca0d14f41a891?pid=MOBFVEATXQBZN7QZ&lid=LSTMOBFVEATXQBZN7QZC5EO2B&marketplace=FLIPKART&store=tyy%2F4io&srno=b_21_497&otracker=browse&fm=organic&iid=797e3cd1-08d3-49e9-bf26-afc16e71839e.MOBFVEATXQBZN7QZ.SEARCH&ppt=None&ppn=None&ssid=ux43lc57hc0000001624017768372,https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/7/q/z/realme-narzo-20a-rmx2050-original-imafvswtu6wjavce.jpeg?q=70
"Gionee s11 lite ( 32 GB , 4 GB ) Blue","Gionee s11 lite | Gionee s11 lite ( 32 GB , 4 GB) | Gionee s11 lite Blue",7004,8999.0,3.4,https://www.snapdeal.com/product/gionee-blue-s11-lite-32/5764608157785105335#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/i/f/r/Gionee-Blue-s11-lite-32-SDL695597010-1-47f88.jpeg,Available,"Gionee S11 Lite (Blue, 4GB RAM, 32GB Storage)","['Gionee S11 Lite ', 'Gionee S11 Lite Blue', 'Gionee S11 Lite  4GB RAM']",7895,15399,Available,3.3,https://www.amazon.co.in/Gionee-S11-Lite-Blue-32GB/dp/B078S9WD8Y/ref=sr_1_185?dchild=1&keywords=mobile&qid=1624268774&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-185,https://m.media-amazon.com/images/I/41Y+96k7hcL._AC_UY218_.jpg,,,,,,,
"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg,Sold out,,,,,,,,,,,,,,,
"Realme C11 ( 32GB , 2 GB ) Grey","Realme C11 | Realme C11 ( 32GB , 2 GB) | Realme C11 Grey",8999,9999.0,4.6,https://www.snapdeal.com/product/realme-c11-32gb-2-gb/640079839402#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/f/p/Realme-C11-32GB-2-GB-SDL880168590-1-9d3a9.jpeg,Available,,,,,,,,,,,,,,,
"Redmi Note 10 ( 64GB , 4 GB ) Aqua Green","Redmi Note 10 | Redmi Note 10 ( 64GB , 4 GB) | Redmi Note 10 Green",13999,15999.0,0.0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/8070451150792751601#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/m/Redmi-Note-10-64GB-4-SDL009655497-1-0d0cc.jpg,Available,"Redmi Note 10 (Aqua Green, 6GB RAM, 128GB Storage) - Amoled Dot Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","['Redmi Note 10 ', 'Redmi Note 10 Aqua Green', 'Redmi Note 10  6GB RAM']",Unavailable,Unavailable,Unavailable,4.1,https://www.amazon.co.in/Test-Exclusive_2020_1143-Multi-3GB-Storage/dp/B089MSG56S/ref=sr_1_27?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-27,https://m.media-amazon.com/images/I/71-BcSc9rhS._AC_UY218_.jpg,"REDMI Note 10 (Aqua Green, 128 GB)",REDMI Note 10 | REDMI Note 10 Aqua Green | REDMI Note 10  128 GB,16379.0,NAN,4.3,https://www.flipkart.com/redmi-note-10-aqua-green-128-gb/p/itm23973bd36fd21?pid=MOBGF47CCGXUZPAP&lid=LSTMOBGF47CCGXUZPAPGGRNIG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_24_567&otracker=browse&fm=organic&iid=818439b7-dc4f-418b-ae7a-4e956232a023.MOBGF47CCGXUZPAP.SEARCH&ppt=None&ppn=None&ssid=fh70s5ufm80000001624017850991,https://rukminim1.flixcart.com/image/312/312/kmax8y80/mobile/n/x/i/note-10-mzb084jlk1-redmi-original-imagf8hpm7nzzday.jpeg?q=70
"Redmi Note 10 ( 64GB , 4 GB ) Aqua Green","Redmi Note 10 | Redmi Note 10 ( 64GB , 4 GB) | Redmi Note 10 Green",13999,15999.0,0.0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/8070451150792751601#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/m/Redmi-Note-10-64GB-4-SDL009655497-1-0d0cc.jpg,Available,"Redmi Note 10 (Aqua Green, 6GB RAM, 128GB Storage) - Amoled Dot Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","['Redmi Note 10 ', 'Redmi Note 10 Aqua Green', 'Redmi Note 10  6GB RAM']",Unavailable,Unavailable,Unavailable,4.1,https://www.amazon.co.in/Test-Exclusive_2020_1143-Multi-3GB-Storage/dp/B089MSG56S/ref=sr_1_27?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-27,https://m.media-amazon.com/images/I/71-BcSc9rhS._AC_UY218_.jpg,"REDMI Note 10 (Aqua Green, 128 GB)",REDMI Note 10 | REDMI Note 10 Aqua Green | REDMI Note 10  128 GB,16354.0,NAN,4.3,https://www.flipkart.com/redmi-note-10-aqua-green-128-gb/p/itm23973bd36fd21?pid=MOBGF47CCGXUZPAP&lid=LSTMOBGF47CCGXUZPAPQR6IL6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_28_667&otracker=browse&fm=organic&iid=4792d7b7-2d27-46be-900c-e758e6ac8e70.MOBGF47CCGXUZPAP.SEARCH&ppt=None&ppn=None&ssid=ubo08db8ao0000001624017960137,https://rukminim1.flixcart.com/image/312/312/kmax8y80/mobile/n/x/i/note-10-mzb084jlk1-redmi-original-imagf8hpm7nzzday.jpeg?q=70
"Realme Narzo 10A ( 32GB , 3 GB ) Blue","Realme Narzo 10A | Realme Narzo 10A ( 32GB , 3 GB) | Realme Narzo 10A Blue",9803,10999.0,0.0,https://www.snapdeal.com/product/realme-narzo-10a-32gb-3/682371075796#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/f/c/Realme-Narzo-10A-32GB-3-SDL217157000-1-5eba1.jpeg,Available,,,,,,,,,,,,,,,
